datetime,uc01,uc02,uc03,uc04
01.01.2019 0:00,3680.42134817878,3202.99873137794,2859.1151542369735,2719.9760879318533
01.01.2019 1:00,3307.8437139791126,2925.976680286252,2761.239905071865,2477.7694292264005
01.01.2019 2:00,2853.0123016044954,2608.1385668065827,2473.3270078059168,2333.1944765697885
01.01.2019 3:00,2568.268576224449,2393.0733990088393,2358.9456786238443,2222.0805138909245
01.01.2019 4:00,2419.946303781665,2302.3201752140894,2253.32419095859,2249.3193405596517
01.01.2019 5:00,2481.3746606691498,2343.8514349333864,2164.278692387702,2354.9746356351766
01.01.2019 6:00,2610.5677449875184,2403.756312879951,2147.758009581474,2304.1834136139114
01.01.2019 7:00,2582.863352301767,2408.284718334749,2177.542517757175,2370.7407590260163
01.01.2019 8:00,2724.512276496658,2477.9456282935475,2163.2587999417797,2473.9061119573335
01.01.2019 9:00,2837.5029524651873,2562.543881353019,2235.0914017668406,2656.251353737644
01.01.2019 10:00,3047.671011649791,2752.9324404173767,2276.878536133919,2664.0527615877113
01.01.2019 11:00,3272.2751506923178,2892.6339843271553,2461.059591531921,2770.538616779031
01.01.2019 12:00,3434.042157548594,2982.6978766424,2531.5483726386833,2957.062178950192
01.01.2019 13:00,3667.1476891190505,3151.777989086102,2509.0139200463345,3093.9764940578416
01.01.2019 14:00,3987.5411618281714,3403.5442778096312,2659.8483226823214,3405.581858767219
01.01.2019 15:00,4439.220418735178,3686.4241288874446,2797.936326746949,3586.247017064633
01.01.2019 16:00,5167.258287191349,4204.821113062499,2699.6877836697754,3731.7563189518573
01.01.2019 17:00,5475.916204468413,4303.101397066189,3178.614961792494,3726.260344770457
01.01.2019 18:00,5324.428553271643,4299.9375039826045,3125.401307052144,3623.860723418407
01.01.2019 19:00,5135.845364517226,4130.5395358421365,2975.486380351836,3368.7012651576147
01.01.2019 20:00,4805.482570451761,3927.1656130954807,3306.797313349047,3495.804664909583
01.01.2019 21:00,4460.80379772637,3797.519424725975,2936.1934445525567,3392.4222705703055
01.01.2019 22:00,4247.3641045540535,3536.034583488451,2764.7712609645832,3047.52670413372
01.01.2019 23:00,4010.639415757749,3389.8783923969904,2655.8747727175,2923.344040323743
02.01.2019 0:00,3518.515959343531,3035.828872740334,2736.5764619909396,2617.6310029094466
02.01.2019 1:00,3015.594345590849,2685.986004148066,2474.205370043337,2389.1505333307364
02.01.2019 2:00,2685.376514578528,2477.2017632715124,2292.983369298441,2070.1634767483993
02.01.2019 3:00,2141.2789361749224,2098.586593675703,2265.105675028744,2000.0
02.01.2019 4:00,2000.0,2000.0,2054.5746202814,2111.488008427501
02.01.2019 5:00,2224.1868206359272,2154.4197207655966,2000.0,2221.366653818886
02.01.2019 6:00,2430.4957906027284,2295.5574705093036,2069.8087293848407,2218.5008500192557
02.01.2019 7:00,2422.5376290219388,2279.4182821766863,2153.8464190708405,2286.614424549255
02.01.2019 8:00,2524.8665116701395,2356.5052592936668,2138.322177221175,2409.358283527965
02.01.2019 9:00,2729.7589985907025,2524.455679696028,2208.428444443015,2508.0100549348817
02.01.2019 10:00,2929.4587155692143,2633.7207546932905,2209.2514178786396,2652.045954189164
02.01.2019 11:00,3213.581465009525,2786.1933149388037,2358.9999806107007,2686.445684423413
02.01.2019 12:00,3303.645807374876,2901.294343456722,2400.3862039323067,2809.499652407482
02.01.2019 13:00,3521.997610851786,3003.4365175101684,2532.959777461561,3047.99919693714
02.01.2019 14:00,3811.909124726245,3207.4568971012186,2688.366643615195,3266.6425363889102
02.01.2019 15:00,4303.033068193583,3578.5330841150667,2750.8741787489816,3744.5420996581497
02.01.2019 16:00,4857.746118076802,3895.549381577717,2736.100534113689,3737.8517489064498
02.01.2019 17:00,5151.292272235796,4217.119152724577,3146.133693182219,3600.331713618045
02.01.2019 18:00,5221.385342033163,4211.745133551434,3291.7126369580415,3659.9267668219895
02.01.2019 19:00,4836.415551925171,3895.734205514974,3172.3367409132334,3340.22817852327
02.01.2019 20:00,4506.438479775943,3827.533874954787,2902.4441270437246,3089.967126750803
02.01.2019 21:00,4240.831953997338,3498.691095855079,3018.715920415013,3044.901758681797
02.01.2019 22:00,3940.057918042714,3398.301645149163,2631.1686429078454,3008.740865477885
02.01.2019 23:00,3810.2125314796867,3238.5187446562486,2853.1917123227595,2855.3145579819748
03.01.2019 0:00,3454.2718615570957,2972.6606441225404,2772.946813944981,2567.6261688162617
03.01.2019 1:00,3006.493320641625,2679.2946928670913,2492.6877548096677,2326.023998393623
03.01.2019 2:00,2619.356147992198,2437.311050229432,2362.8373113117163,2136.7276633677347
03.01.2019 3:00,2253.1811867943397,2177.4934749683757,2216.271059008463,2128.6243949586296
03.01.2019 4:00,2215.0144401808534,2146.4356348232564,2096.2125717157655,2195.9966805250647
03.01.2019 5:00,2331.9813852449365,2235.0527734887446,2091.2082471359518,2245.986472549985
03.01.2019 6:00,2484.759238015378,2341.138032547094,2131.5658916422717,2298.2243230246186
03.01.2019 7:00,2529.8964260688667,2371.340625535683,2132.983083070838,2337.3347134449714
03.01.2019 8:00,2624.275350350372,2450.42507300644,2164.954557648307,2411.3434349543445
03.01.2019 9:00,2832.977925213908,2566.825489655848,2253.662270555901,2604.472618261579
03.01.2019 10:00,3007.1612277889108,2711.995324870217,2238.3947567536115,2700.603752589812
03.01.2019 11:00,3212.863359613338,2824.4577046437807,2428.705673852289,2725.8463691997636
03.01.2019 12:00,3368.225652897193,2946.8993905191223,2484.8517828882354,2804.7198242814425
03.01.2019 13:00,3414.288317269525,2935.499888860196,2625.0636072390016,2886.2330578839797
03.01.2019 14:00,3699.6808124819736,3185.0764887511828,2514.099212658351,3370.9385241771815
03.01.2019 15:00,4291.4941591623865,3549.650864234315,2542.672299757913,3359.4532194917892
03.01.2019 16:00,4639.127332300679,3883.3111310441163,2693.4761030080426,3884.6306716641043
03.01.2019 17:00,5112.296185865156,4198.480787534918,3077.092319110081,3778.1193506557274
03.01.2019 18:00,5195.617291340632,4110.524966162668,2953.437713387926,3613.196211297928
03.01.2019 19:00,4838.354508380287,3896.947673042231,3396.641366556075,3322.4727841561707
03.01.2019 20:00,4603.3739905489565,3798.45318641425,2972.1057295275536,3063.27267836844
03.01.2019 21:00,4180.638410056111,3481.4351809411964,3163.4382240352897,2979.6270184654886
03.01.2019 22:00,3881.255084485576,3258.8595055599053,2916.1982811357802,3020.6159376648384
03.01.2019 23:00,3728.5227578281138,3195.229667490329,2548.200436307549,2741.482275860224
04.01.2019 0:00,3367.6578983220056,2936.8540742522027,2653.4368960580646,2479.3604462215008
04.01.2019 1:00,2979.9556993785104,2644.4142990411074,2525.632931907384,2305.033785111646
04.01.2019 2:00,2583.748602008951,2390.482583530817,2392.3161363911845,2140.596220839431
04.01.2019 3:00,2261.6201392491025,2176.386939883167,2266.291302672358,2137.596559513266
04.01.2019 4:00,2221.8199561500674,2151.1940041542657,2113.9949719578017,2161.393314586104
04.01.2019 5:00,2324.515993080759,2222.6754983239985,2076.418270655343,2222.6387290783346
04.01.2019 6:00,2414.9027525396123,2268.648208581523,2114.285131845972,2254.884803314801
04.01.2019 7:00,2477.928057389142,2345.1530773684112,2182.8043382,2317.692759566823
04.01.2019 8:00,2569.3153308412243,2406.2048499287266,2151.465671254461,2436.34556639191
04.01.2019 9:00,2752.7502001425364,2512.2228562747578,2189.137717788917,2595.1220035480637
04.01.2019 10:00,2983.0932560521815,2670.364177109697,2303.432731510231,2664.143372281317
04.01.2019 11:00,3224.2479677222145,2869.3656340668776,2383.852075900617,2747.929832672944
04.01.2019 12:00,3401.7940032743822,2981.7074586695053,2393.8005802228754,2910.645640082979
04.01.2019 13:00,3620.651168563119,3090.876284246292,2441.3461237122024,3001.0641047954305
04.01.2019 14:00,3743.330625507021,3219.978160427261,2611.4164206494816,3179.407962765396
04.01.2019 15:00,4272.002596011067,3603.3262140151437,2485.440877113133,3649.4499132892433
04.01.2019 16:00,4847.975535864644,3941.0257481897506,2704.0516853671406,3822.345497340557
04.01.2019 17:00,4957.128447329742,4098.26976982103,2987.5187302059308,3714.385982839871
04.01.2019 18:00,4998.350266684646,4034.4062669371187,3240.6517119040545,3367.419922431675
04.01.2019 19:00,4485.425217379904,3712.1944206373228,3121.7905804684915,3096.97886851109
